Hour,Coal_Bowen,Coal_Scherer,Coal_JackMcDonough,Other_Coal_Plant,Nuclear_Vogtle,Nuclear_EdwinIHatch,Oil_Plant,Gas_Plant,Hydro_Plant,Biomass_Plant
1,18.06154535,4.297632375,6.845892397,0,0,0,0,0,0,0
2,15.41309158,4.044416672,4.317318616,0,0,0,0,0,0,0
3,13.33861012,3.457261558,3.205779321,0,0,0,0,0,0,0
4,10.99846145,3.921142392,2.548841682,0,0,0,0,0,0,0
5,7.8776651,3.500277174,1.966659028,0,0,0,0,0,0,0
6,5.0886799,3.568609528,1.605574082,0,0,0,0,0,0,0
7,3.757508497,2.963480563,1.250225919,0,0,0,0,0,0,0
8,3.146415242,2.291329708,1.040004253,0,0,0,0,0,0,0
9,2.515310316,2.026906892,1.049869194,0,0,0,0,0,0,0
10,1.883477081,1.578396644,1.21156266,0,0,0,0,0,0,0
11,1.462124593,1.603592816,0.958532045,0,0,0,0,0,0,0
12,1.118290312,1.075436757,0.60027039,0,0,0,0,0,0,0
13,1.23337858,1.182009354,0.760936319,0,0,0,0,0,0,0
14,1.761525271,1.513219226,1.151961564,0,0,0,0,0,0,0
15,3.116369316,2.103163402,2.226505391,0,0,0,0,0,0,0
16,7.813051409,4.659132191,10.7075248,0,0,0,0,0,0,0
17,14.19583745,4.939038216,29.26276595,0,0,0,0,0,0,0
18,20.5258156,4.110057456,34.2391184,0,0,0,0,0,0,0
19,24.97706268,3.161171424,34.69484998,0,0,0,0,0,0,0
20,30.08082029,2.840247772,32.0426251,0,0,0,0,0,0,0
21,35.70569326,2.545707129,23.63510721,0,0,0,0,0,0,0
22,39.86558624,2.716076277,16.85446172,0,0,0,0,0,0,0
23,39.1947504,2.854743393,14.8414911,0,0,0,0,0,0,0
24,31.67998445,2.941301066,12.43276465,0,0,0,0,0,0,0
